SALES_ID,Surrender Rate,Early Claim Rate,PIVC Number Mismatch Rate,PIVC Concern Raised Rate,RCU Rejections Rate,Free Look  Cancellation Rate,Sales Related Complaint,First Year Persistency Rate,Type
270084,0.00,0.00,0.00,0.00,1.05,0.00,0.00,75.0,Active
800722,0.00,0.47,0.64,3.20,2.13,0.00,0.64,74.5,Active
800812,0.00,3.55,0.00,1.38,1.38,0.00,0.00,60.2,Active
800947,0.00,0.46,0.00,0.45,0.00,0.46,0.00,81.1,Active
801055,0.00,0.00,7.11,0.79,0.40,0.41,0.00,72.1,Active
960108,0.00,0.00,1.32,2.19,2.19,0.00,0.00,75.2,Active
960425,0.00,0.00,0.00,0.62,0.31,0.00,0.00,87.9,Active
960439,0.00,0.00,2.06,2.75,1.72,0.00,0.00,87.1,Active
960731,0.00,0.35,16.67,0.68,0.34,0.71,0.00,59.0,Active
960753,0.00,0.00,0.00,0.58,0.58,0.00,0.00,70.8,Active
960773,0.00,1.42,0.22,0.78,1.44,0.12,0.11,69.3,Active
960797,0.00,0.00,1.03,1.03,0.51,0.00,0.00,78.1,Active
960861,0.00,0.00,16.00,1.00,0.00,1.06,2.00,70.7,Active
960941,0.00,0.00,1.63,0.54,1.09,0.00,0.00,81.8,Active
961046,0.00,0.00,13.87,1.26,0.00,0.44,0.00,84.4,Active
961219,0.00,1.46,0.00,0.71,0.00,0.00,0.00,86.7,Active
961251,0.00,0.00,12.46,2.32,0.00,0.00,0.87,59.0,Active
961316,0.00,0.00,2.54,0.56,0.00,0.30,0.00,88.7,Active
961322,0.00,0.00,20.79,0.00,0.00,0.37,0.00,80.5,Active
961325,0.00,0.00,4.48,2.24,2.99,0.85,0.00,68.5,Active
961339,0.00,0.00,0.00,1.16,0.00,0.00,0.58,90.4,Active
961501,0.00,0.00,0.00,1.29,0.00,0.00,0.00,83.7,Active
961502,0.00,0.00,3.10,0.62,0.31,0.65,0.31,83.3,Active
961609,0.00,0.00,0.00,1.57,3.53,0.45,1.57,73.2,Active
961657,0.00,0.59,0.00,1.58,0.00,0.00,0.00,92.4,Active
961690,0.00,0.00,0.00,1.11,0.00,0.00,0.00,98.6,Active
961739,0.00,0.00,0.45,1.36,1.36,0.00,0.45,82.6,Active
961763,0.00,0.00,0.96,0.96,0.00,0.53,0.96,94.4,Active
961837,0.00,0.00,0.00,0.56,1.13,0.62,0.56,79.6,Active
961878,0.00,0.45,1.25,0.42,0.42,0.00,0.00,78.9,Active
961883,0.00,0.00,0.40,2.02,0.81,0.00,0.40,88.0,Active
961974,0.00,2.25,10.70,0.41,0.00,1.35,1.23,95.7,Active
962064,0.00,1.28,0.00,4.35,0.00,0.00,0.00,89.3,Active
962081,0.00,0.00,0.00,1.53,1.15,0.44,0.00,89.6,Active
962217,0.00,0.00,0.49,2.94,0.49,1.06,0.49,74.8,Active
962235,0.00,0.00,0.79,0.00,1.59,0.00,0.79,80.8,Active
962243,0.00,0.00,2.43,1.74,0.00,0.77,0.00,94.8,Active
962340,0.00,0.00,1.20,0.80,2.40,0.00,0.00,84.1,Active
962350,0.00,0.78,0.74,0.49,1.48,0.00,0.00,84.7,Active
962389,0.00,0.00,0.00,0.57,0.00,0.00,0.57,90.2,Active
962390,0.00,0.00,0.00,2.63,0.88,2.04,0.88,85.0,Active
962457,0.00,1.09,0.00,5.03,0.00,1.09,0.00,88.6,Active
962510,0.00,0.67,0.00,0.33,0.33,0.00,0.65,70.6,Active
962580,0.00,0.00,0.43,1.72,0.00,0.46,0.43,96.7,Active
962590,0.00,0.00,0.00,1.21,1.21,0.00,0.00,91.3,Active
962624,0.00,0.00,20.91,1.05,0.70,0.00,0.00,79.5,Active
962636,0.00,1.40,5.41,0.68,0.00,0.00,2.70,92.3,Active
962691,0.00,0.00,0.00,2.35,0.39,0.42,0.00,65.0,Active
962784,0.00,0.00,0.58,0.87,0.00,0.00,0.00,95.7,Active
962811,0.00,0.00,5.33,3.67,1.33,0.00,0.00,91.8,Active
962819,0.00,0.43,0.00,0.42,0.00,0.00,0.00,86.4,Active
962846,0.00,0.00,0.00,2.26,1.13,0.00,0.00,86.2,Active
962919,0.00,0.65,0.00,0.90,0.30,0.00,0.00,77.9,Active
963075,0.00,0.00,0.76,1.91,0.38,0.42,0.00,69.6,Active
963201,0.00,0.00,2.56,1.71,0.85,0.00,0.00,77.1,Active
963233,0.00,0.00,2.92,0.83,0.00,1.28,0.42,86.3,Active
963244,0.00,0.40,0.37,0.37,0.00,0.40,0.00,88.0,Active
963256,0.00,0.00,0.00,1.47,4.41,0.56,0.49,62.4,Active
963278,0.00,0.95,0.00,0.88,0.00,0.95,0.00,86.4,Active
963387,0.00,0.00,0.00,0.97,0.00,0.00,0.00,85.8,Active
963462,0.00,0.00,0.00,0.39,0.00,1.33,0.00,95.8,Active
963478,0.00,0.00,4.48,2.99,0.50,0.00,0.00,93.9,Active
963485,0.00,0.00,2.08,0.00,0.69,0.74,2.08,88.2,Active
963492,0.00,0.40,0.00,2.11,0.35,0.40,0.00,94.4,Active
963715,0.00,0.00,0.70,2.11,0.70,0.77,0.70,87.8,Active
963748,0.00,0.00,0.41,1.64,0.00,0.92,0.82,89.9,Active
963773,0.00,0.00,0.00,1.15,0.00,0.00,0.00,72.5,Active
963850,0.00,0.00,0.50,3.00,0.00,0.60,1.00,95.0,Active
963904,0.00,0.00,0.46,0.92,1.38,0.00,0.00,89.8,Active
963941,0.00,0.55,0.00,0.52,0.52,0.00,0.00,90.7,Active
964023,0.00,0.00,13.10,1.19,0.00,2.03,0.60,95.4,Active
964081,0.00,0.49,0.44,0.00,0.00,0.00,0.00,85.8,Active
964134,0.00,0.00,0.48,0.48,0.00,1.55,0.00,91.6,Active
964192,0.00,1.73,0.36,1.46,0.73,0.00,1.09,86.1,Active
964197,0.00,0.44,9.83,1.28,0.00,0.00,0.00,75.5,Active
964206,0.00,1.24,1.14,1.14,0.00,0.62,1.14,95.9,Active
964219,0.00,0.00,0.00,0.83,0.00,0.45,0.83,86.1,Active
964231,0.00,0.00,0.00,0.56,0.56,0.00,0.00,69.4,Active
964261,0.00,0.39,0.00,0.00,2.17,0.00,0.00,84.4,Active
964276,0.00,0.00,0.00,2.05,0.68,0.82,0.00,83.9,Active
964364,0.00,0.00,0.00,1.13,2.82,0.67,0.56,76.7,Active
964383,0.00,0.00,0.63,0.32,1.90,0.68,0.32,76.5,Active
964402,0.00,1.07,0.00,1.91,0.96,0.00,0.00,80.7,Active
964419,0.00,0.00,0.00,0.51,0.00,1.10,0.00,97.1,Active
964429,0.00,0.61,0.00,3.37,1.69,0.00,0.00,83.6,Active
964517,0.00,0.00,0.98,1.96,0.00,1.10,0.00,66.4,Active
964539,0.00,0.00,3.20,1.60,0.80,0.94,0.00,87.7,Active
964567,0.00,0.39,1.88,0.75,0.00,0.39,0.00,84.7,Active
964619,0.00,0.00,0.62,0.93,0.00,0.65,1.24,88.4,Active
964637,0.00,0.00,0.00,0.66,1.33,0.75,0.00,86.3,Active
964677,0.00,0.81,0.00,0.77,0.00,0.00,0.00,68.5,Active
964692,0.00,0.00,2.48,0.83,0.83,0.00,0.00,100.0,Active
964696,0.00,0.00,0.00,3.88,0.78,0.00,0.00,78.7,Active
964757,0.00,0.00,0.00,0.69,1.39,0.81,0.00,67.1,Active
964759,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.5,Active
964835,0.00,0.00,0.00,2.51,0.50,0.00,0.00,85.7,Active
964889,0.00,1.08,0.00,0.50,0.50,0.00,0.50,90.2,Active
964930,0.00,0.48,0.00,0.81,0.81,0.96,2.02,88.6,Active
964940,0.00,0.00,0.00,0.00,1.02,0.56,0.51,90.9,Active
965054,0.00,0.00,3.43,1.72,0.00,0.00,0.43,82.3,Active
965056,0.00,0.46,0.00,0.44,0.00,0.92,0.00,72.7,Active
965082,0.00,0.00,0.00,1.72,0.00,0.00,0.00,86.8,Active
965139,0.00,0.00,0.52,0.00,0.00,0.00,0.00,86.0,Active
965205,0.00,0.00,0.00,2.09,0.42,0.47,0.00,94.4,Active
965228,0.00,1.22,0.00,1.01,1.51,0.61,1.01,89.1,Active
965274,0.00,0.00,25.96,3.86,0.00,0.00,0.00,81.8,Active
965280,0.00,0.00,0.00,3.68,0.00,0.61,0.53,79.6,Active
965281,0.00,0.00,0.40,0.80,0.00,0.00,0.00,88.0,Active
965559,0.00,0.00,0.00,1.25,0.00,0.00,0.00,80.0,Active
965564,0.00,0.66,0.00,0.63,0.32,0.66,0.00,79.3,Active
965602,0.00,0.00,0.77,1.92,0.38,0.85,0.38,85.0,Active
